IDI_OCCUPATION_CLASS,GENDER,AGE_ATTAINED,BASE_ULTIMATE_CTR
3,M,93,0.2561775
3,M,94,0.2777895
3,M,95,0.29872375
3,M,96,0.32054625
3,M,97,0.343801
3,M,98,0.370681
3,M,99,0.399282
3,M,100,0.427039
3,M,101,0.452861
3,M,102,0.475696
3,M,103,0.49476375
3,M,104,0.51078925
3,M,105,0.5251055
3,M,106,0.5383
3,M,107,0.5489125
3,M,108,0.5552125
3,M,109,0.560025
3,M,110,0.5625
3,M,111,0.5625
3,M,112,0.5625
3,M,113,0.5625
3,M,114,0.5625
3,M,115,0.5625
3,M,116,0.5625
3,M,117,0.5625
3,M,118,0.5625
3,M,119,0.5625
3,M,120,0.45
4,F,32,0.027956553
4,F,33,0.028129124
4,F,34,0.028474267
4,F,35,0.02881941
4,F,36,0.027964915
4,F,37,0.027110421
4,F,38,0.026255927
4,F,39,0.025401432
4,F,40,0.024546938
4,F,41,0.023692444
4,F,42,0.022837949
4,F,43,0.021983455
4,F,44,0.02112896
4,F,45,0.020274466
4,F,46,0.019869533
4,F,47,0.0194646
4,F,48,0.019059667
4,F,49,0.018654734
4,F,50,0.018249801
4,F,51,0.017844868
4,F,52,0.017439935
4,F,53,0.017035002
4,F,54,0.016630069
4,F,55,0.016225136
4,F,56,0.016292356
4,F,57,0.016359576
4,F,58,0.016426796
4,F,59,0.016494016
4,F,60,0.016561236
4,F,61,0.016628457
4,F,62,0.016695677
4,F,63,0.017676817
4,F,64,0.018657958
4,F,65,0.019639099
4,F,66,0.020597345
4,F,67,0.021553411
4,F,68,0.023382172
4,F,69,0.025206804
4,F,70,0.027027308
4,F,71,0.028843684
4,F,72,0.030655932
4,F,73,0.033331371
4,F,74,0.036000739
4,F,75,0.038664036
4,F,76,0.041367709
4,F,77,0.044071381
4,F,78,0.047437945
4,F,79,0.051066839
4,F,80,0.055001783
4,F,81,0.05924278
4,F,82,0.063789827
4,F,83,0.0707865
4,F,84,0.0784525
