IDI_OCCUPATION_CLASS,IDI_BENEFIT_PERIOD,ELIMINATION_PERIOD,BENEFIT_PERIOD_MODIFIER
1,60M,14,0.927
1,60M,30,0.927
1,60M,60,0.902
1,60M,90,0.956
1,60M,180,0.956
1,60M,360,0.956
1,60M,720,0.956
2,60M,0,0.987
2,60M,7,0.987
2,60M,14,0.987
2,60M,30,0.987
2,60M,60,0.987
2,60M,90,0.987
2,60M,180,0.987
2,60M,360,0.987
2,60M,720,0.987
3,60M,0,1
3,60M,7,1
3,60M,14,1
3,60M,30,1
3,60M,60,1
3,60M,90,1
3,60M,180,1
3,60M,360,1
3,60M,720,1
4,60M,0,1
4,60M,7,1
4,60M,14,1
4,60M,30,1
4,60M,60,1
4,60M,90,1
4,60M,180,1
4,60M,360,1
4,60M,720,1
